City,State,Country,Project Title,Type of Action,Sector,Sector (Categorical),Instrument,Instrument type (categorical),Amount (USD/EUR/BRL),Amount USD (integer),Funders,Funder (categorical),Intermediaries/Implementers,Status,Status (categorical),Summary,Key Points,Source Link,Coordinates,Detailed Expected Impact,Repayment Structure,Operation & Maintenance,Co-benefits (detailed),Primary Beneficiaries (detailed),Climate Goals (detailed),Alignment with National/Local Priorities,Implementation Risks & Lessons
Fortaleza,CE,Brazil,Fortaleza Sustainable Urban Development (incl. Parque Rachel de Queiroz NBS),Nature-based solutions; Urban drainage; Parks/green-blue infrastructure,Urban development; Water & environment,Environment & Nature-based Solutions; Urban Development & Housing; Water & Sanitation / Water Management,IBRD loan (sovereign),Loan,"US$73.3M (approx., per PAD)",73300000,World Bank (IBRD),World Bank,Municipality of Fortaleza,Under implementation (per 2025 ISR),Under implementation / Operational,"Restoration of urban green areas and water bodies to reduce flooding and improve public spaces, including works in Rachel de Queiroz Park and basins.",Strong E&S framework; measurable flood mitigation; replicable NBS toolkit.,https://documents.worldbank.org/pt/publication/documents-reports/documentdetail/710321493604135885/brazil-fortaleza-sustainable-urban-development-project,"-3.731900, -38.526700","Reduces Fortaleza’s vulnerability to flooding and climate extremes by restoring wetlands, building floodable parks, and upgrading drainage and sewage in the Vertente Marítima basin. Improves water quality in canals and coastal zones (safe bathing index from ~20% to ~80% in target areas), creates new public green spaces and mobility options (paths, lighting, recreation), and strengthens municipal planning and land‑based revenue tools. Around 300,000 residents in vulnerable neighborhoods see better flood protection, cleaner water, and more livable public spaces.","US$73.3M IBRD sovereign‑guaranteed loan to the Municipality of Fortaleza, with a maturity of about 24 years and ~6‑year grace period. The federal government of Brazil provides the repayment guarantee. Repayment is made from municipal budget over time, complemented by local counterpart funds for additional works.","Municipal agencies (e.g., environment and infrastructure secretariats) operate and maintain the new drainage, parks, and wetlands. Assets like Rachel de Queiroz Park’s ponds and greenways are integrated into the city’s regular park and stormwater maintenance programs. The project also builds institutional capacity and an NBS ‘toolkit’ so local teams can replicate and maintain similar solutions elsewhere.","Public health gains from reduced sewage overflows and cleaner canals/beaches; new leisure areas support physical activity and social cohesion; tree planting and wetlands improve biodiversity and urban cooling; improved aesthetics and recreational value can boost local tourism and small business activity near the park; safer, better‑lit public spaces enhance security perception.","Low‑income residents of flood‑prone informal neighborhoods around Rachel de Queiroz Park and the Vertente Marítima basin, including households previously affected by frequent flooding and poor sanitation. Coastal communities and beach users benefit from cleaner bathing waters. The wider population of Fortaleza benefits from reduced flood risk on key roads and increased availability of green public spaces.",Primarily an adaptation project: enhances resilience to more intense rainfall and flooding expected under climate change through nature‑based solutions and improved drainage. Mitigation co‑benefits include carbon sequestration from new vegetation and reduced methane from better wastewater handling. Supports Fortaleza’s climate action plan and Brazil’s NDC adaptation objectives by reducing disaster risk and improving water management in a major coastal city.,"Aligns with Fortaleza’s Green Area System Master Plan and municipal climate/urban development strategies, which prioritize flood control, expanded green spaces, and social inclusion. At the national level, supports Brazil’s urban resilience and sanitation policies and the broader goal of climate‑resilient cities, while fitting within the World Bank’s Brazil Country Partnership Framework for sustainable urban development.","Land tenure and resettlement complexities around park areas (e.g., federal university land and families to be relocated) forced scope adjustments and highlighted the need for early stakeholder coordination. Macroeconomic constraints required reallocating resources. A key lesson is that combining flood control with high‑quality public spaces and NBS yields strong public support and multi‑functional value but demands robust social safeguards and clear long‑term maintenance arrangements."
São Paulo,SP,Brazil,Electrification and Improvement of the São Paulo Urban Transport System (Zero‑Emission Buses),Fleet electrification; Clean transport,Urban mobility,Transport,IBRD loan + IDB loan,Loan,US$248.3M (IBRD) + US$248.3M (IDB),496600000,World Bank; IDB,IDB; World Bank,Municipality of São Paulo; SPTrans,Approved 2025,Approved,Scale-up of e-buses and modernized operations to cut GHGs and air pollutants; supports Climate Change Law target of fully electric fleet by 2038.,Large-scale e-bus transition; air-quality co-benefits; local manufacturing/jobs.,https://www.worldbank.org/en/news/press-release/2025/05/15/world-bank-and-s-o-paulo-join-forces-for-more-modern-healthier-urban-transport,"-23.550500, -46.633300","Transforms São Paulo’s bus system by financing large‑scale deployment of battery‑electric buses and associated infrastructure, improving service reliability and reducing emissions. Expected to significantly reduce local air pollutants and greenhouse‑gas emissions from a sector that accounts for over half of city GHGs and nearly half of local air pollution. Directly benefits over 100,000 daily transit users on targeted corridors and nearly 3 million residents living along those routes, through cleaner, quieter, more reliable buses and upgraded operations.","Parallel US$248.3M IBRD loan and US$248.3M IDB loan to the Municipality of São Paulo (sovereign‑guaranteed), with long tenors (around 15–24 years) and grace periods (~6 years). Loans are repaid from municipal budgets over time, supported by the city’s transport revenue and general revenues. The program also mobilizes private capital from bus operators and financiers (around US$125M) for e‑bus fleet and charging assets via PPP‑style agreements, repaid through service contracts.","SPTrans (São Paulo’s transit authority) manages planning and oversight; private bus concessionaires operate and maintain the electric buses and depot charging systems under updated contracts. The project includes capacity building for operators on electric drivetrain and battery maintenance, and investments in upgraded depots, digital fleet management, and grid connections to support long‑term O&M of the electrified network.","Major public‑health gains from reduced PM and NOx emissions, especially in dense and low‑income areas; less noise along bus corridors; job creation and technology transfer in Brazil’s e‑bus manufacturing and charging industries; gender and social inclusion measures (greater women’s participation in the sector and safer, more reliable services for women users); improved service quality (punctuality, comfort) and reduced congestion through integrated corridor and operations improvements.","Daily bus users—particularly low‑income commuters and women who rely heavily on public transport—and residents living near heavily used bus corridors who will experience cleaner air and less noise. Indirect beneficiaries include the broader population of metropolitan São Paulo through improved air quality and reduced GHG emissions, and workers in the emerging electric mobility value chain.","Strongly supports climate mitigation by accelerating the shift from diesel to zero‑emission buses, directly supporting São Paulo’s Climate Law mandate of a 100% zero‑emission bus fleet by 2038 and contributing to Brazil’s NDC transport mitigation efforts. Also advances a broader ‘green, resilient, inclusive’ urban agenda by modernizing public transport and encouraging mode shift away from private cars.","Aligned with São Paulo’s municipal climate and mobility plans, the National Urban Mobility Policy, Brazil’s NDC, and the World Bank/IDB country strategies, all of which emphasize sustainable urban transport and emissions reduction. The project operationalizes São Paulo’s own climate legislation on fleet decarbonization and supports national efforts to position Brazil as a leader in electric mobility.","Key risks include integrating large‑scale e‑bus technology into an existing system (grid capacity, depot reconfiguration, operational learning curve), financial sustainability given higher upfront capital costs, and complex multi‑stakeholder coordination (city, operators, utility, manufacturers, MDBs). Lessons from early pilots (over 500 e‑buses already in service) underscore the value of phased rollout, robust regulatory support, and blended finance to de‑risk adoption."
Belo Horizonte,MG,Brazil,Belo Horizonte LED Street Lighting PPP (BHIP),Energy efficiency; Smart city,Energy/public lighting,Energy,PPP concession,PPP / Concession,—,,Private capital via PPP; supported by IFC/ESMAP knowledge work,Private / PPP,BHIP (municipal SPV); Signify (Philips),Operational (2019 majority completion),Under implementation / Operational,"Replacement of ~182,000 luminaires with LEDs; remote control on main avenues.",≈50% electricity cost savings; improved safety; model PPP structure.,https://www.signify.com/global/our-company/news/press-releases/2019/20190815-belo-horizonte-realizes-electricity-cost-savings-by-upgrading-to-led-streetlights-signify,"-19.912998, -43.940933","City‑wide modernization of ~182,000 streetlights from conventional lamps to LEDs, cutting electricity use for public lighting by about 50%, improving lighting quality, and enabling smart remote management. Expected impacts include significant municipal energy cost savings, brighter and more uniform lighting that enhances night‑time safety, and reduced maintenance needs due to LEDs’ longer lifespan.","Implemented via a ~R$1.4B, 20‑year PPP concession. The private SPV (BHIP) finances upfront investment and is repaid over time through availability payments funded by the municipal public lighting fee and energy savings. The city avoids large upfront borrowing; instead, it commits to performance‑linked concession payments that cover capital recovery, O&M, and investor return.","BHIP is contractually responsible for operating and maintaining the entire street lighting system for 20 years, including LED fixtures and remote monitoring/control systems. Performance standards (uptime, response times) are embedded in the PPP contract. After concession expiry, ownership reverts to the city along with a modern, well‑maintained lighting network.",Improved public safety and perceived security at night due to better illumination; increased use of public spaces and nighttime economic activity; substantial reduction in electricity consumption and associated GHG emissions; local industrial benefits from domestic manufacture of LED fixtures; fewer maintenance truck rolls and reduced light pollution thanks to better optics.,"All residents, businesses, and visitors in Belo Horizonte who use streets and public spaces after dark. Particularly beneficial for neighborhoods that were previously under‑lit or considered unsafe at night. The municipal government benefits via lower operating costs and more predictable budgeting for lighting.","Contributes to climate mitigation through large‑scale energy efficiency, reducing electricity demand for public lighting by about half and thus lowering power‑sector emissions. Aligns with broader climate and SDG goals to decarbonize cities and improve energy efficiency in municipal services.","Supports Belo Horizonte’s smart city and public safety strategies, Brazil’s National Energy Efficiency Plan, and federal efforts to promote infrastructure PPPs. Demonstrates a scalable model that other Brazilian cities are adopting for modernizing public lighting with private investment.","Risks included executing a rapid city‑wide retrofit, ensuring savings materialized as projected, and managing a complex long‑term PPP. Lessons: detailed asset inventory and planning before rollout, selecting experienced technology partners, embedding remote monitoring for efficient O&M, and structuring contracts so that energy savings and service quality incentives are aligned."
São Paulo (Metro region),SP,Brazil,Tietê River Depollution Program – Phase IV,Wastewater collection & treatment; River restoration,Water & sanitation,Water & Sanitation / Water Management,IDB Invest corporate loan; IDB loan (historic phases),Loan,"≈ BRL 940M (IDB Invest local-currency loan, ~US$200M)",388000000,IDB Invest; IDB; others (multi-phase program),IDB; IDB Invest,SABESP (state utility),Under implementation (Phase IV),Under implementation / Operational,Expansion of sewerage and WWTP capacity to improve water quality for 3.7M residents in RMSP.,Large metropolitan impact; strong E&S oversight; measurable coverage KPIs.,https://www.idbinvest.org/en/projects/sabesp-tiete-river-depollution-project-phase-iv,"-23.550500, -46.633300","Expands sewage collection and treatment in the São Paulo Metropolitan Region by building ~200 km of new sewers, ~160 km of interceptors, and expanding key WWTPs. Expected to connect around 400,000 households to sewerage, dramatically reduce organic and pathogen loads in the Tietê River, and improve environmental and sanitary conditions for roughly 3.7 million residents in 34 municipalities. Also yields sizable GHG reductions by avoiding methane emissions from untreated wastewater.","Financed primarily through a BRL 940M (~US$200M) local‑currency corporate loan from IDB Invest to Sabesp, with half the risk backstopped by a PROPARCO guarantee, complemented by other multilateral and local funds. Sabesp repays the loan from operating cash flows (tariff revenues) over a long tenor, in line with Brazil’s New Sanitation Law universalization timeline.","Sabesp owns, operates, and maintains all new sewer networks and expanded WWTP capacity, integrating them into its existing metropolitan sanitation system. The project includes institutional strengthening and an Environmental and Social Action Plan to ensure high‑standard operations, sludge handling, and environmental compliance over time.","Major public‑health improvements from reduced exposure to raw sewage and contaminated floodwaters; revived river ecosystems and biodiversity; contribution to urban flood risk reduction; enhanced quality of life and property values in upgraded neighborhoods; climate co‑benefits from reduced methane and a cleaner, more resilient water environment.","Roughly 400,000 newly connected households—predominantly low‑income residents in peri‑urban municipalities—as well as 3.7 million people who benefit from improved river and environmental conditions across the metro area. Downstream users and ecosystems also benefit from cleaner river water.","Classified as almost fully aligned with climate finance, delivering both mitigation (large methane reductions) and adaptation (more resilient sanitation and flood‑resistant urban environment). Supports Brazil’s NDC and Paris‑alignment by decarbonizing the wastewater sector and building water resilience in a mega‑city.","Directly supports Brazil’s New Sanitation Law goal of universal sewage by 2033 and the long‑standing Tietê River cleanup agenda of São Paulo. Aligns with national water and environmental policies, SDG 6, and IDB/IDB Invest strategies to promote sustainable, climate‑aligned urban infrastructure.","Challenges include executing large works in dense urban areas (land acquisition, traffic disruption), ensuring robust environmental and social safeguards, and managing long‑term financial sustainability. Early lessons: flexible project scope (e.g., adding Franco da Rocha WWTP), strong ESAP implementation, and local‑currency financing are critical for success in large utility‑led climate infrastructure."
Manaus,AM,Brazil,PROSAMIM / PROSAMIN – Social & Environmental Program for Igarapés,Flood risk reduction; Sanitation; Slum upgrading,Urban development; Water & sanitation,Resilience & Disaster Risk Management; Urban Development & Housing; Water & Sanitation / Water Management,IDB sovereign loans (multi‑phase),Loan,Multiple phases (hundreds of US$M),,IDB,IDB,Government of Amazonas; Municipality of Manaus,Multiple phases since 2006; Phase III approved 2012; IV in preparation,Approved,Resettlement from flood-prone areas; drainage canals; sewer connections; public spaces to reduce flood and health risks.,Integrated social + resilience approach; extensive KPIs; long-running program.,https://www.iadb.org/en/project/BR-L1297,"-3.117000, -60.025800","Multi‑phase slum upgrading and creek restoration program in Manaus that relocates thousands of families from flood‑prone igarapé settlements into safe housing, constructs drainage and sanitation infrastructure, and reclaims degraded creek corridors as roads and parks. Expected impacts include sharply reduced flood risk, improved health and sanitation, safer housing, and environmental revitalization of urban waterways.","Financed through successive sovereign loans from the IDB (e.g., PROSAMIM III ~US$280M IDB loan + US$120M local counterpart), with 25‑year maturity, 5‑year grace, and LIBOR‑based interest. The State of Amazonas repays these loans, guaranteed by the federal government, from its budget over the long term, supported by national programs such as the Growth Acceleration Program.","Post‑construction, state and municipal agencies share O&M: drainage canals and flood works are maintained by state infrastructure or city works departments; sewer and water networks are operated by the city’s water utility; new parks and public spaces are managed by the municipality; housing is transferred to residents and local housing authorities. The PROSAMIM project unit (UGPE) helped set up arrangements and train institutions for long‑term maintenance.",Health gains from reduced flooding and better sanitation; large improvements in housing quality and security of tenure; creation of linear parks and public spaces that enhance recreation and urban cooling; increased property values and economic opportunities in regenerated areas; strengthened institutional capacity for integrated urban planning; advances in social inclusion by bringing marginalized creekside communities into the formal city.,"Low‑income families formerly living in precarious palafitas along igarapés, plus additional residents in nearby neighborhoods who benefit from new infrastructure and public spaces. Tens of thousands of people see dramatic improvements in safety, housing, sanitation, and urban amenities.",Predominantly an adaptation/resilience project: reduces exposure to climate‑amplified flooding and improves drainage in a rainforest city. Mitigation co‑benefits from better wastewater handling (less methane) and new green spaces and tree cover. Aligns with climate resilience objectives for urban areas in the Amazon region.,"Aligned with Manaus’s master plan and flood‑control priority for igarapés, the Amazonas state development plan, Brazil’s housing and sanitation policies (e.g., PAC, Plansab), and IDB’s country strategy on reducing poverty and improving environmental sustainability in cities. Also supports SDGs 6 and 11.","Major risks included large‑scale resettlement, maintaining livelihoods, construction in difficult hydrological conditions, and governance/integrity challenges. Lessons: provide nearby or on‑site resettlement with free housing and strong social support; integrate housing, infrastructure, and social components; enforce robust procurement and anti‑corruption controls; pair physical works with solid waste management and environmental education to sustain creek restoration."
São Paulo,SP,Brazil,Metro Line 4 Expansion (Taboão da Serra),Mass transit expansion (low‑carbon),Urban mobility,Transport,IBRD loan; PPP with private concessionaire,Loan; PPP / Concession,US$400M (IBRD),400000000,World Bank; State of São Paulo; ViaQuatro (PPP),National / Subnational Government; Private / PPP; World Bank,Metro São Paulo; ViaQuatro,Approved 2025,Approved,"Extension of Line 4 beyond city limits, adding stations and improving access for low‑income commuters; CO₂ reductions via mode shift.",PPP structure; climate‑resilient design; accessibility focus.,https://www.worldbank.org/en/news/press-release/2025/07/29/world-bank-supports-sao-paulo-expansion-of-metro-line-4,"-23.550500, -46.633300","Expands São Paulo Metro Line 4 westward to Taboão da Serra, a densely populated municipality underserved by rapid transit. Improves travel time, reliability, and access to jobs for 300,000+ people. Supports mode shift from cars to rail, reducing emissions and congestion in the southwest metro area. Helps integrate transport networks and reduces inequalities in mobility.",US$400M IBRD loan to the State of São Paulo under sovereign guarantee. Financing supports public works and complements PPP funding from private concessionaires responsible for rolling stock and operations under the Line 4 PPP contract.,"Metro Line 4 is operated and maintained by a private concessionaire (ViaQuatro) under a long-term PPP contract, with responsibility for service delivery, vehicle operation, maintenance, and fare integration.",Improved access to jobs and education; increased gender and income inclusion via better mobility; local economic development around new stations; road safety from reduced car traffic; GHG reduction from mode shift to electric rail.,"Residents of Taboão da Serra and western São Paulo, particularly low- and middle-income commuters who rely on public transport. Broader urban region benefits from improved network integration and reduced congestion.",Supports mitigation through modal shift from high-emission road transport to low-carbon electric rail. Reduces vehicle-km traveled and emissions. Aligns with São Paulo and Brazil's low-carbon urban transport strategies.,Part of São Paulo’s urban mobility master plan and Brazil’s federal policies promoting sustainable mass transit. Aligned with World Bank urban transport and climate goals.,Land acquisition and interface with existing networks posed risks; project leveraged earlier PPP lessons from Line 4. Close coordination between public and private actors and phased construction helped manage delivery risks.
Rio de Janeiro,RJ,Brazil,VLT Carioca – Light Rail (Downtown),Electric light rail; Bus line rationalization,Urban mobility,Transport,BNDES Climate Fund; KfW finance; PPP,Climate / Carbon Finance; PPP / Concession,EUR 265M (KfW); plus BNDES Climate Fund component,291500000,KfW; BNDES (Fundo Clima); Municipality/PPP,BNDES; KfW / BMZ; National / Subnational Government; Private / PPP,Prefeitura do Rio; VLT Carioca/CCR,Operational since 2016 (expansions 2019),Under implementation / Operational,Zero‑emission LRT network integrating central intermodal nodes; reduces CO₂ and traffic.,Climate‑friendly urban transport; strong intermodality; PPP delivery.,https://www.kfw.de/About-KfW/Newsroom/Latest-News/Pressemitteilungen-Details_368320.html,"-22.906800, -43.172900","Built 28 km of modern electric light rail (VLT Carioca) in Rio’s historic downtown, replacing polluting bus lines and creating a pedestrian-friendly corridor. Improved mobility, reduced emissions, and enhanced tourism and urban revitalization in the port area.",Financed via PPP supported by BNDES Climate Fund and EUR 265M KfW concessional loan to the municipality/state. The private concessionaire invested and is repaid via availability payments over 25 years.,"Operated by VLT Carioca under PPP contract. Responsible for all system O&M, ticketing, and integration with buses/metro. Contract includes performance incentives and penalties.",Improved air quality; noise reduction; historic preservation; increased walkability and urban regeneration in port zone. Boost to tourism and real estate markets.,"Commuters, tourists, and residents in Rio’s central and port areas. Businesses and informal workers benefit from increased foot traffic and improved public realm.",Mitigation through clean electric public transport; reduces GHGs and short-lived pollutants. Part of Rio’s climate plan to green its mobility system.,"Aligned with Rio’s Porto Maravilha redevelopment strategy and Brazil’s climate urban transport targets, supported by federal and multilateral climate finance.","Construction delays, integration with traffic and urban renewal works posed early risks. Close coordination with port revitalization helped. PPP model ensured continuity and accountability."
São Paulo,SP,Brazil,Bandeirantes Landfill Gas-to-Energy (CDM),Methane capture & power generation,Solid waste / energy,Energy; Solid Waste & Circular Economy,CDM carbon finance; PPP/concession,Climate / Carbon Finance; PPP / Concession,—,,CER revenue; municipal concession,Private / PPP,Biogás Energia Ambiental; Prefeitura de São Paulo,Operational (registered CDM 2006),Under implementation / Operational,Gas collection and electricity generation at Bandeirantes landfill; major CO₂e reductions.,Early city‑level carbon finance; strong MRV through UNFCCC.,https://cdm.unfccc.int/Projects/DB/DNV-CUK1134130255.56/view?cp=1,"-23.550500, -46.633300","Captures methane from the Bandeirantes landfill and uses it to generate electricity, reducing GHG emissions and producing clean energy. One of Brazil’s first CDM landfill projects, showcasing waste-to-energy innovation.",Funded via Clean Development Mechanism (CDM) carbon finance. Revenues from certified emissions reductions (CERs) sold to buyers like the World Bank’s carbon funds. PPP model with private operator responsible for investment and operations.,"Private operator manages landfill gas capture and energy generation under concession. Maintains wells, flares, engines, and monitoring systems.",Reduces odor and fire risks; provides renewable energy; strengthens environmental controls at landfill; technology demonstration for other cities.,Local communities near landfill benefit from reduced pollution and hazards. São Paulo gains from emissions reduction and clean energy revenue.,Methane mitigation aligns with Brazil’s NDC and IPCC targets for potent GHGs. Clean energy generation adds to mitigation benefits.,Supports national climate goals and local waste management strategy. Pioneered city participation in carbon markets.,Monitoring and validation of emissions posed technical challenges. Showed value of early CDM participation and public-private innovation.
São Paulo,SP,Brazil,São João Landfill Gas-to-Energy (CDM),Methane capture & flaring/power,Solid waste / energy,Energy; Solid Waste & Circular Economy,CDM carbon finance,Climate / Carbon Finance,—,,CER revenue; municipal concession,Private / PPP,Biogás Energia Ambiental; Prefeitura de São Paulo,Operational (CDM),Under implementation / Operational,Sister project to Bandeirantes capturing methane and generating electricity.,Demonstrates scalability of LFG‑to‑energy in large metros.,https://prefeitura.sp.gov.br/cidade/secretarias/upload/arquivos/secretarias/financas/leilaocarbono/2012/pt-br/anexo1-edital001-2012.pdf,"-23.550500, -46.633300","Captures and flares landfill methane at São João site, avoiding high-GWP emissions. One of Brazil’s key CDM urban waste projects. Demonstrates scalable GHG abatement in waste sector.",CDM-based revenue from carbon credits under performance-based contracting. Operator financed equipment and recoups cost via CER sales.,Private concessionaire maintains gas capture systems and monitoring under strict CDM verification protocols.,Reduces explosion and odor risks; supports landfill closure and environmental compliance; builds technical capacity for methane control.,Residents near landfill; city gains GHG reduction credentials and potential carbon revenue.,Direct GHG mitigation through landfill methane destruction. Supports Brazil’s low-carbon urban strategy and CDM objectives.,Aligned with city/state solid waste policies and Brazil’s climate mitigation priorities. Leveraged international carbon finance.,CDM process complexity and monitoring costs posed barriers. Key lesson: upfront investment and expertise crucial for waste sector climate action.
Porto Alegre (statewide RG do Sul),RS,Brazil,Sustainable Recovery & Flood Resilience DPL,Policy-based operation; Flood resilience; Early warning,DRM; Water; Social protection,Resilience & Disaster Risk Management; Water & Sanitation / Water Management,IBRD DPL (policy loan),Loan,US$359.6M,359600000,World Bank,World Bank,State of Rio Grande do Sul; Porto Alegre,Approved 2025,Approved,Strengthens governance and finances resilient infrastructure and recovery post-2024 floods.,Supports emergency fund; targeted social support; municipal resilience upgrades.,https://www.worldbank.org/en/news/press-release/2025/10/17/brazil-rio-grande-do-sul-sustainable-recovery-dpl,"-30.034600, -51.217700","Supports disaster and climate resilience reforms in Rio Grande do Sul following 2023 flooding. Strengthens early warning, flood risk governance, resilient infrastructure, and climate-adaptive planning.","US$359.6M IBRD Development Policy Loan (DPL) to the State of Rio Grande do Sul, with sovereign guarantee. Repayment over 20+ years, linked to achievement of policy actions under programmatic framework.","State government integrates reforms into agency mandates—e.g., environment, planning, infrastructure departments. Policies cover long-term resilience mainstreaming and system upgrades.",Stronger governance for disaster preparedness; reduced social vulnerability; more transparent budgeting and asset management; gender-sensitive risk management.,"Flood-prone communities, particularly low-income households in urban and peri-urban zones. Local governments receive tools and support for resilience planning.",Focused on climate adaptation and disaster risk reduction. Aligns with Brazil’s NDC and Sendai Framework resilience priorities. Reduces future loss and damage from extreme weather.,Integrated into Brazil’s post-disaster response and state adaptation planning. Supports World Bank goals for climate resilience and inclusive recovery.,"Reform fatigue, institutional capacity, and political transitions pose risks. Importance of sequencing actions and stakeholder engagement highlighted by earlier state reforms."
